product_name,product_sku,product_price,product_category,loyalty_value
Universal,1000007,4266.01,Skiing,533
functionalities,1000014,2504.71,Biking,313
capacity,1000021,7287.16,Camping,911
intranet,1000028,4360.28,Paddling,545
multi-state,1000035,8749.28,Paddling,1094
optimal,1000042,2671.13,Camping,334
toolset,1000049,5210.05,Skiing,651
client-server,1000056,7963.85,Paddling,995
productivity,1000063,127.88,Biking,16
data-warehouse,1000070,8343.4,Paddling,1043
process improvement,1000077,7885.3,Camping,986
Diverse,1000084,6540.92,Hiking,818
tertiary,1000091,7741.96,Camping,968
analyzing,1000098,2908.7,Camping,364
holistic,1000105,8449.81,Biking,1056
system-worthy,1000112,6321.86,Biking,790
web-enabled,1000119,1099.19,Camping,137
policy,1000126,8734.57,Skiing,1092
mobile,1000133,5329.64,Paddling,666
didactic,1000140,9932.48,Climbing,1242
Synchronised,1000147,7315.51,Skiing,914
Inverse,1000154,7032.49,Camping,879
foreground,1000161,675.47,Hiking,84
emulation,1000168,7912.94,Biking,989
non-volatile,1000175,1025.96,Biking,128
framework,1000182,3519.3,Skiing,440
uniform,1000189,2902.15,Paddling,363
interactive,1000196,2792.72,Camping,349
Persistent,1000203,1115.82,Hiking,139
dedicated,1000210,1184.31,Camping,148
